iter	Passed	Remaining
0	192	192076
1	452	225974
2	715	237815
3	970	241629
4	1279	254636
5	1529	253313
6	1810	256814
7	2053	254615
8	2315	254929
9	2568	254274
10	2817	253280
11	3065	252378
12	3323	252305
13	3610	254259
14	3852	252969
15	4090	251570
16	4334	250625
17	4574	249549
18	4817	248732
19	5087	249306
20	5332	248598
21	5582	248183
22	5844	248253
23	6090	247672
24	6359	248029
25	6622	248100
26	6873	247710
27	7131	247555
28	7374	246934
29	7632	246782
30	7868	245961
31	8106	245233
32	8352	244746
33	8595	244222
34	8841	243765
35	9081	243173
36	9320	242577
37	9568	242230
38	9829	242216
39	10084	242021
40	10331	241667
41	10581	241368
42	10831	241070
43	11067	240476
44	11330	240466
45	11607	240726
46	11864	240573
47	12140	240792
48	12418	241024
49	12665	240638
50	12936	240723
51	13181	240313
52	13424	239872
53	13669	239475
54	13940	239515
55	14221	239728
56	14461	239257
57	14712	238951
58	14956	238537
59	15237	238728
60	15493	238500
61	15752	238325
62	15997	237931
63	16247	237614
64	16520	237644
65	16765	237263
66	17027	237112
67	17291	237001
68	17566	237017
69	17826	236844
70	18088	236677
71	18343	236432
72	18612	236351
73	18894	236431
74	19147	236154
75	19387	235706
76	19647	235514
77	19887	235076
78	20149	234912
79	20393	234526
80	20659	234399
81	20900	233981
82	21138	233544
83	21400	233363
84	21673	233312
85	21948	233267
86	22187	232842
87	22426	232420
88	22660	231956
89	22938	231930
90	23175	231498
91	23412	231070
92	23677	230915
93	23957	230911
94	24216	230696
95	24488	230601
96	24748	230394
97	24999	230099
98	25254	229842
99	25496	229470
100	25747	229175
101	26017	229058
102	26274	228817
103	26512	228413
104	26750	228013
105	26990	227640
106	27234	227295
107	27493	227077
108	27727	226650
109	27976	226357
110	28211	225945
111	28442	225511
112	28706	225330
113	28962	225096
114	29213	224817
115	29472	224597
116	29713	224248
117	29964	223972
118	30223	223756
119	30465	223410
120	30706	223069
121	30943	222689
122	31184	222348
123	31418	221958
124	31667	221675
125	31944	221581
126	32207	221394
127	32471	221209
128	32701	220798
129	32932	220397
130	33184	220134
131	33465	220060
132	33705	219717
133	33940	219346
134	34183	219029
135	34484	219080
136	34729	218768
137	34982	218516
138	35214	218130
139	35453	217788
140	35709	217551
141	35978	217389
142	36224	217093
143	36479	216851
144	36720	216523
145	36951	216142
146	37184	215771
147	37432	215491
148	37665	215125
149	37924	214903
150	38161	214562
151	38398	214224
152	38631	213859
153	38870	213537
154	39107	213200
155	39348	212886
156	39582	212537
157	39829	212254
158	40064	211915
159	40306	211609
160	40546	211295
161	40787	210987
162	41022	210651
163	41264	210349
164	41496	209997
165	41756	209786
166	42001	209502
167	42293	209452
168	42530	209130
169	42764	208793
170	43000	208464
171	43238	208146
172	43471	207810
173	43727	207578
174	43966	207270
175	44210	206986
176	44443	206649
177	44680	206334
178	44915	206010
179	45165	205753
180	45406	205456
181	45653	205187
182	45919	205004
183	46159	204705
184	46441	204595
185	46693	204347
186	46974	204225
187	47240	204037
188	47491	203784
189	47733	203496
190	47977	203214
191	48218	202918
192	48459	202627
193	48693	202304
194	48941	202039
195	49180	201738
196	49426	201469
197	49664	201168
198	49894	200829
