Team,Match Up,Game Date,W/L,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp PTS OFF TO,Opp 2nd PTS,Opp FBPs,Opp PITP,TEAM_ID,GAME_ID
CHA,CHA vs. NYK,04/18/2007,L,48,26,7,17,32,15,17,7,48,1610612766,20601218
LAL,LAL @ SAC,04/18/2007,W,48,7,18,18,72,16,11,18,32,1610612747,20601227
UTA,UTA vs. HOU,04/18/2007,W,48,18,12,17,38,20,5,11,26,1610612762,20601226
MIN,MIN vs. MEM,04/18/2007,L,48,6,24,5,42,10,25,13,54,1610612750,20601225
HOU,HOU @ UTA,04/18/2007,L,48,20,5,11,26,18,12,17,38,1610612745,20601226
MEM,MEM @ MIN,04/18/2007,W,48,10,25,13,54,6,24,5,42,1610612763,20601225
BOS,BOS vs. DET,04/18/2007,L,48,10,15,17,40,18,19,16,42,1610612738,20601221
PHI,PHI @ TOR,04/18/2007,W,48,22,18,18,52,15,6,19,44,1610612755,20601217
SEA,SEA vs. DAL,04/18/2007,L,48,6,4,3,26,26,12,21,48,1610612760,20601229
POR,POR vs. GSW,04/18/2007,L,48,18,12,9,36,30,6,25,60,1610612757,20601228
NOK,NOK @ LAC,04/18/2007,W,48,10,21,2,24,15,25,4,28,1610612740,20601230
NYK,NYK @ CHA,04/18/2007,W,48,15,17,7,48,26,7,17,32,1610612752,20601218
CLE,CLE vs. MIL,04/18/2007,W,48,25,23,22,62,26,6,19,32,1610612739,20601220
NJN,NJN vs. CHI,04/18/2007,W,48,17,11,15,38,23,14,16,40,1610612751,20601222
ORL,ORL vs. MIA,04/18/2007,W,48,19,11,25,40,17,10,10,24,1610612753,20601219
MIL,MIL @ CLE,04/18/2007,L,48,26,6,19,32,25,23,22,62,1610612749,20601220
MIA,MIA @ ORL,04/18/2007,L,48,17,10,10,24,19,11,25,40,1610612748,20601219
DET,DET @ BOS,04/18/2007,W,48,18,19,16,42,10,15,17,40,1610612765,20601221
LAC,LAC vs. NOK,04/18/2007,L,48,15,25,4,28,10,21,2,24,1610612746,20601230
DEN,DEN @ SAS,04/18/2007,W,48,12,11,24,42,13,11,8,38,1610612743,20601224
DAL,DAL @ SEA,04/18/2007,W,48,26,12,21,48,6,4,3,26,1610612742,20601229
TOR,TOR vs. PHI,04/18/2007,L,48,15,6,19,44,22,18,18,52,1610612761,20601217
SAS,SAS vs. DEN,04/18/2007,L,48,13,11,8,38,12,11,24,42,1610612759,20601224
WAS,WAS @ IND,04/18/2007,W,48,11,7,4,26,11,13,8,24,1610612764,20601223
GSW,GSW @ POR,04/18/2007,W,48,30,6,25,60,18,12,9,36,1610612744,20601228
IND,IND vs. WAS,04/18/2007,L,48,11,13,8,24,11,7,4,26,1610612754,20601223
SAC,SAC vs. LAL,04/18/2007,L,48,16,11,18,32,7,18,18,72,1610612758,20601227
CHI,CHI @ NJN,04/18/2007,L,48,23,14,16,40,17,11,15,38,1610612741,20601222
DET,DET vs. TOR,04/17/2007,W,48,18,5,21,40,11,11,6,24,1610612765,20601214
PHI,PHI vs. CLE,04/17/2007,L,48,8,10,14,36,19,9,18,48,1610612755,20601211
CLE,CLE @ PHI,04/17/2007,W,48,19,9,18,48,8,10,14,36,1610612739,20601211
LAC,LAC @ PHX,04/17/2007,W,48,13,24,6,40,17,13,16,42,1610612746,20601215
DAL,DAL @ GSW,04/17/2007,L,48,11,9,9,36,26,18,25,38,1610612742,20601216
IND,IND @ ATL,04/17/2007,L,48,14,10,6,42,23,8,11,54,1610612754,20601213
GSW,GSW vs. DAL,04/17/2007,W,48,26,18,25,38,11,9,9,36,1610612744,20601216
TOR,TOR @ DET,04/17/2007,L,48,11,11,6,24,18,5,21,40,1610612761,20601214
WAS,WAS vs. ORL,04/17/2007,L,48,17,25,3,34,15,10,6,42,1610612764,20601212
ATL,ATL vs. IND,04/17/2007,W,48,23,8,11,54,14,10,6,42,1610612737,20601213
ORL,ORL @ WAS,04/17/2007,W,48,15,10,6,42,17,25,3,34,1610612753,20601212
PHX,PHX vs. LAC,04/17/2007,L,48,17,13,16,42,13,24,6,40,1610612756,20601215
SAS,SAS @ MEM,04/16/2007,L,48,13,21,21,26,16,9,12,44,1610612759,20601206
MIL,MIL vs. ATL,04/16/2007,W,48,13,13,9,44,20,13,13,48,1610612749,20601205
UTA,UTA vs. POR,04/16/2007,W,48,20,21,18,54,12,13,5,30,1610612762,20601209
SAC,SAC vs. NOK,04/16/2007,L,48,17,14,9,42,7,13,28,50,1610612758,20601210
BOS,BOS @ MIA,04/16/2007,W,48,17,17,16,44,20,9,14,26,1610612738,20601204
MEM,MEM vs. SAS,04/16/2007,W,48,16,9,12,44,13,21,21,26,1610612763,20601206
NYK,NYK vs. NJN,04/16/2007,L,48,14,19,6,32,10,2,10,18,1610612752,20601203
POR,POR @ UTA,04/16/2007,L,48,12,13,5,30,20,21,18,54,1610612757,20601209
HOU,HOU vs. PHX,04/16/2007,W,48,23,30,6,38,18,10,19,42,1610612745,20601207
PHX,PHX @ HOU,04/16/2007,L,48,18,10,19,42,23,30,6,38,1610612756,20601207
NJN,NJN @ NYK,04/16/2007,W,48,10,2,10,18,14,19,6,32,1610612751,20601203
MIA,MIA vs. BOS,04/16/2007,L,48,20,9,14,26,17,17,16,44,1610612748,20601204
DEN,DEN vs. MIN,04/16/2007,W,48,20,19,34,60,28,15,19,38,1610612743,20601208
ATL,ATL @ MIL,04/16/2007,L,48,20,13,13,48,13,13,9,44,1610612737,20601205
NOK,NOK @ SAC,04/16/2007,W,48,7,13,28,50,17,14,9,42,1610612740,20601210
MIN,MIN @ DEN,04/16/2007,L,48,28,15,19,38,20,19,34,60,1610612750,20601208
TOR,TOR vs. NYK,04/15/2007,W,48,22,4,16,34,13,12,0,34,1610612761,20601199
ORL,ORL vs. BOS,04/15/2007,W,48,20,14,24,36,27,11,14,48,1610612753,20601200
GSW,GSW vs. MIN,04/15/2007,W,48,24,19,27,48,27,21,12,36,1610612744,20601198
SEA,SEA @ LAL,04/15/2007,L,48,5,20,2,48,16,17,7,36,1610612760,20601202
DAL,DAL vs. SAS,04/15/2007,W,48,19,9,21,28,12,11,17,30,1610612742,20601194
WAS,WAS vs. CHI,04/15/2007,L,48,7,13,7,24,13,13,22,34,1610612764,20601195
PHI,PHI @ DET,04/15/2007,W,48,19,20,16,50,12,14,6,26,1610612755,20601201
CHI,CHI @ WAS,04/15/2007,W,48,13,13,22,34,7,13,7,24,1610612741,20601195
SAS,SAS @ DAL,04/15/2007,L,48,12,11,17,30,19,9,21,28,1610612759,20601194
SAC,SAC @ LAC,04/15/2007,W,48,25,14,7,34,11,20,4,34,1610612758,20601197
IND,IND vs. NJN,04/15/2007,L,48,20,15,12,24,20,6,15,34,1610612754,20601196
DET,DET vs. PHI,04/15/2007,L,48,12,14,6,26,19,20,16,50,1610612765,20601201
NJN,NJN @ IND,04/15/2007,W,48,20,6,15,34,20,15,12,24,1610612751,20601196
NYK,NYK @ TOR,04/15/2007,L,48,13,12,0,34,22,4,16,34,1610612752,20601199
BOS,BOS @ ORL,04/15/2007,L,48,27,11,14,48,20,14,24,36,1610612738,20601200
LAC,LAC vs. SAC,04/15/2007,L,48,11,20,4,34,25,14,7,34,1610612746,20601197
LAL,LAL vs. SEA,04/15/2007,W,48,16,17,7,36,5,20,2,48,1610612747,20601202
MIN,MIN @ GSW,04/15/2007,L,48,27,21,12,36,24,19,27,48,1610612750,20601198
PHX,PHX @ UTA,04/14/2007,W,48,27,7,23,48,15,17,8,42,1610612756,20601192
SEA,SEA @ POR,04/14/2007,L,48,14,20,16,44,12,25,8,44,1610612760,20601193
POR,POR vs. SEA,04/14/2007,W,48,12,25,8,44,14,20,16,44,1610612757,20601193
UTA,UTA vs. PHX,04/14/2007,L,48,15,17,8,42,27,7,23,48,1610612762,20601192
NOK,NOK @ HOU,04/14/2007,L,48,9,15,8,44,12,13,8,60,1610612740,20601191
DEN,DEN @ MEM,04/14/2007,L,48,20,18,21,60,23,16,30,64,1610612743,20601189
MIL,MIL vs. CHA,04/14/2007,L,48,23,4,19,42,27,9,12,48,1610612749,20601190
HOU,HOU vs. NOK,04/14/2007,W,48,12,13,8,60,9,15,8,44,1610612745,20601191
MEM,MEM vs. DEN,04/14/2007,W,48,23,16,30,64,20,18,21,60,1610612763,20601189
CLE,CLE vs. ATL,04/14/2007,W,48,28,13,28,58,13,10,8,38,1610612739,20601188
ORL,ORL @ PHI,04/14/2007,W,48,10,16,6,54,13,11,21,34,1610612753,20601187
ATL,ATL @ CLE,04/14/2007,L,48,13,10,8,38,28,13,28,58,1610612737,20601188
CHA,CHA @ MIL,04/14/2007,W,48,27,9,12,48,23,4,19,42,1610612766,20601190
PHI,PHI vs. ORL,04/14/2007,L,48,13,11,21,34,10,16,6,54,1610612755,20601187
ATL,ATL vs. WAS,04/13/2007,L,48,15,12,10,40,22,22,8,36,1610612737,20601178
POR,POR @ LAC,04/13/2007,L,48,17,6,4,38,19,7,16,38,1610612757,20601186
LAL,LAL @ PHX,04/13/2007,L,48,11,14,4,36,10,16,18,38,1610612747,20601185
