TEAM,MATCH UP,GAME DATE,W/L,MIN,eFG%,FTA Rate,TOV%,OREB%,Opp eFG%,Opp FTA Rate,Opp TOV%,Opp OREB%,TEAM_ID,GAME_ID
DAL,DAL vs. BOS,06/14/2024,W,48,58.8,0.242,9.4,31.9,45.0,0.163,14.6,11.8,1610612742,0042300404
BOS,BOS @ DAL,06/14/2024,L,48,45.0,0.163,14.6,11.8,58.8,0.242,9.4,31.9,1610612738,0042300404
DAL,DAL vs. BOS,06/12/2024,L,48,49.4,0.186,9.7,25.0,56.7,0.171,9.8,13.6,1610612742,0042300403
BOS,BOS @ DAL,06/12/2024,W,48,56.7,0.171,9.8,13.6,49.4,0.186,9.7,25.0,1610612738,0042300403
BOS,BOS vs. DAL,06/09/2024,W,48,51.2,0.238,11.6,23.4,51.3,0.3,16.1,28.9,1610612738,0042300402
DAL,DAL @ BOS,06/09/2024,L,48,51.3,0.3,16.1,28.9,51.2,0.238,11.6,23.4,1610612742,0042300402
DAL,DAL @ BOS,06/06/2024,L,48,45.8,0.226,11.7,24.5,57.3,0.232,15.1,27.7,1610612742,0042300401
BOS,BOS vs. DAL,06/06/2024,W,48,57.3,0.232,15.1,27.7,45.8,0.226,11.7,24.5,1610612738,0042300401
DAL,DAL @ MIN,05/30/2024,W,48,63.7,0.274,13.4,27.5,48.3,0.236,14.3,30.2,1610612742,0042300315
MIN,MIN vs. DAL,05/30/2024,L,48,48.3,0.236,14.3,30.2,63.7,0.274,13.4,27.5,1610612750,0042300315
DAL,DAL vs. MIN,05/28/2024,L,48,50.6,0.259,15.1,26.5,60.1,0.338,16.1,20.0,1610612742,0042300314
MIN,MIN @ DAL,05/28/2024,W,48,60.1,0.338,16.1,20.0,50.6,0.259,15.1,26.5,1610612750,0042300314
BOS,BOS @ IND,05/27/2024,W,48,52.8,0.157,13.8,32.0,51.7,0.184,14.9,30.0,1610612738,0042300304
IND,IND vs. BOS,05/27/2024,L,48,51.7,0.184,14.9,30.0,52.8,0.157,13.8,32.0,1610612754,0042300304
MIN,MIN @ DAL,05/26/2024,L,48,55.9,0.2,11.0,32.6,66.2,0.456,15.4,21.2,1610612750,0042300313
DAL,DAL vs. MIN,05/26/2024,W,48,66.2,0.456,15.4,21.2,55.9,0.2,11.0,32.6,1610612742,0042300313
IND,IND vs. BOS,05/25/2024,L,48,53.3,0.154,11.6,31.1,56.6,0.313,8.5,23.9,1610612754,0042300303
BOS,BOS @ IND,05/25/2024,W,48,56.6,0.313,8.5,23.9,53.3,0.154,11.6,31.1,1610612738,0042300303
MIN,MIN vs. DAL,05/24/2024,L,48,48.2,0.376,9.6,32.1,56.0,0.262,10.5,28.3,1610612750,0042300312
DAL,DAL @ MIN,05/24/2024,W,48,56.0,0.262,10.5,28.3,48.2,0.376,9.6,32.1,1610612742,0042300312
IND,IND @ BOS,05/23/2024,L,48,58.9,0.19,17.2,34.9,61.9,0.227,12.8,39.5,1610612754,0042300302
BOS,BOS vs. IND,05/23/2024,W,48,61.9,0.227,12.8,39.5,58.9,0.19,17.2,34.9,1610612738,0042300302
DAL,DAL @ MIN,05/22/2024,W,48,52.9,0.195,13.7,29.5,52.8,0.202,10.5,25.0,1610612742,0042300311
MIN,MIN vs. DAL,05/22/2024,L,48,52.8,0.202,10.5,25.0,52.9,0.195,13.7,29.5,1610612750,0042300311
IND,IND @ BOS,05/21/2024,L,53,60.1,0.101,19.8,31.9,55.1,0.303,13.3,30.9,1610612754,0042300301
BOS,BOS vs. IND,05/21/2024,W,53,55.1,0.303,13.3,30.9,60.1,0.101,19.8,31.9,1610612738,0042300301
MIN,MIN @ DEN,05/19/2024,W,48,45.6,0.38,10.1,32.0,45.8,0.193,11.4,26.5,1610612750,0042300237
IND,IND @ NYK,05/19/2024,W,48,75.3,0.203,15.2,32.1,50.0,0.318,10.9,34.0,1610612754,0042300217
NYK,NYK vs. IND,05/19/2024,L,48,50.0,0.318,10.9,34.0,75.3,0.203,15.2,32.1,1610612752,0042300217
DEN,DEN vs. MIN,05/19/2024,L,48,45.8,0.193,11.4,26.5,45.6,0.38,10.1,32.0,1610612743,0042300237
OKC,OKC @ DAL,05/18/2024,L,48,56.0,0.185,10.4,30.6,61.0,0.293,18.9,38.6,1610612760,0042300226
DAL,DAL vs. OKC,05/18/2024,W,48,61.0,0.293,18.9,38.6,56.0,0.185,10.4,30.6,1610612742,0042300226
NYK,NYK @ IND,05/17/2024,L,48,51.8,0.317,10.2,32.0,58.8,0.143,10.1,42.2,1610612752,0042300216
IND,IND vs. NYK,05/17/2024,W,48,58.8,0.143,10.1,42.2,51.8,0.317,10.2,32.0,1610612754,0042300216
MIN,MIN vs. DEN,05/16/2024,W,48,55.2,0.279,6.4,27.1,34.3,0.163,13.0,17.7,1610612750,0042300236
DEN,DEN @ MIN,05/16/2024,L,48,34.3,0.163,13.0,17.7,55.2,0.279,6.4,27.1,1610612743,0042300236
BOS,BOS vs. CLE,05/15/2024,W,48,64.4,0.15,16.1,38.5,56.3,0.152,11.5,18.6,1610612738,0042300205
DAL,DAL @ OKC,05/15/2024,W,48,61.8,0.171,15.7,27.0,48.3,0.115,8.0,22.0,1610612742,0042300225
OKC,OKC vs. DAL,05/15/2024,L,48,48.3,0.115,8.0,22.0,61.8,0.171,15.7,27.0,1610612760,0042300225
CLE,CLE @ BOS,05/15/2024,L,48,56.3,0.152,11.5,18.6,64.4,0.15,16.1,38.5,1610612739,0042300205
DEN,DEN vs. MIN,05/14/2024,W,48,60.6,0.225,13.0,26.3,53.8,0.244,15.4,22.7,1610612743,0042300235
IND,IND @ NYK,05/14/2024,L,48,51.4,0.306,19.6,16.3,52.5,0.188,9.6,50.0,1610612754,0042300215
NYK,NYK vs. IND,05/14/2024,W,48,52.5,0.188,9.6,50.0,51.4,0.306,19.6,16.3,1610612752,0042300215
MIN,MIN @ DEN,05/14/2024,L,48,53.8,0.244,15.4,22.7,60.6,0.225,13.0,26.3,1610612750,0042300235
OKC,OKC @ DAL,05/13/2024,W,48,41.8,0.261,8.2,31.0,47.7,0.261,14.7,33.3,1610612760,0042300224
CLE,CLE vs. BOS,05/13/2024,L,48,51.6,0.074,8.7,22.2,56.4,0.308,16.3,33.3,1610612739,0042300204
BOS,BOS @ CLE,05/13/2024,W,48,56.4,0.308,16.3,33.3,51.6,0.074,8.7,22.2,1610612738,0042300204
DAL,DAL vs. OKC,05/13/2024,L,48,47.7,0.261,14.7,33.3,41.8,0.261,8.2,31.0,1610612742,0042300224
MIN,MIN vs. DEN,05/12/2024,L,48,54.3,0.329,11.7,33.3,65.2,0.19,12.9,13.9,1610612750,0042300234
DEN,DEN @ MIN,05/12/2024,W,48,65.2,0.19,12.9,13.9,54.3,0.329,11.7,33.3,1610612743,0042300234
IND,IND vs. NYK,05/12/2024,W,48,64.8,0.091,14.4,26.3,37.6,0.348,14.6,33.3,1610612754,0042300214
NYK,NYK @ IND,05/12/2024,L,48,37.6,0.348,14.6,33.3,64.8,0.091,14.4,26.3,1610612752,0042300214
DAL,DAL vs. OKC,05/11/2024,W,48,48.9,0.275,14.4,36.2,53.1,0.235,14.4,20.0,1610612742,0042300223
BOS,BOS @ CLE,05/11/2024,W,48,59.4,0.175,13.6,27.5,50.0,0.119,9.0,20.8,1610612738,0042300203
OKC,OKC @ DAL,05/11/2024,L,48,53.1,0.235,14.4,20.0,48.9,0.275,14.4,36.2,1610612760,0042300223
CLE,CLE vs. BOS,05/11/2024,L,48,50.0,0.119,9.0,20.8,59.4,0.175,13.6,27.5,1610612739,0042300203
