iter	Passed	Remaining
0	289	289388
1	563	281107
2	823	273667
3	1081	269196
4	1352	269058
5	1620	268408
6	1897	269116
7	2159	267783
8	2428	267387
9	2697	267022
10	2959	266076
11	3239	266730
12	3512	266705
13	3786	266658
14	4064	266897
15	4332	266478
16	4620	267151
17	4883	266406
18	5139	265351
19	5405	264877
20	5685	265055
21	5954	264723
22	6220	264242
23	6515	264946
24	6797	265091
25	7057	264392
26	7345	264726
27	7617	264446
28	7870	263533
29	8127	262780
30	8396	262465
31	8682	262654
32	8946	262161
33	9215	261818
34	9491	261704
35	9777	261830
36	10044	261436
37	10315	261151
38	10582	260757
39	10834	260020
40	11089	259391
41	11348	258843
42	11631	258859
43	11884	258223
44	12151	257873
45	12417	257522
46	12684	257200
47	12935	256553
48	13208	256353
49	13477	256079
50	13728	255466
51	13994	255123
52	14241	254465
53	14495	253944
54	14772	253818
55	15033	253429
56	15293	253019
57	15562	252754
58	15818	252297
59	16078	251892
60	16379	252139
61	16641	251767
62	16913	251553
63	17179	251251
64	17440	250869
65	17714	250684
66	17985	250455
67	18238	249976
68	18540	250165
69	18830	250182
70	19111	250068
71	19383	249825
72	19662	249681
73	19919	249262
74	20182	248913
75	20461	248774
76	20724	248425
77	21000	248231
78	21252	247766
79	21514	247415
80	21786	247187
81	22024	246561
82	22309	246481
83	22620	246669
84	22918	246715
85	23191	246477
86	23449	246087
87	23710	245729
88	23969	245353
89	24248	245182
90	24543	245164
91	24799	244764
92	25066	244466
93	25339	244229
94	25608	243959
95	25866	243574
96	26099	242969
97	26388	242883
98	26645	242501
99	26900	242107
100	27173	241870
101	27414	241352
102	27670	240976
103	27965	240934
104	28213	240483
105	28480	240201
106	28744	239892
107	29020	239685
108	29288	239411
109	29517	238824
110	29783	238533
111	30072	238428
112	30301	237851
113	30550	237436
114	30781	236881
115	31046	236592
116	31319	236371
117	31583	236070
118	31849	235795
119	32133	235646
120	32385	235266
121	32684	235220
